id,created_at,updated_at,deleted_at,category,spare_parts_unit,title,vendor_code,description,short_description,price,image_original,image_128,image_432,can_to_view
193825,,,,1,0,Фонарь маркерный ( светодиодный ) контурный желтый 80.3731,80-3731,0,0,132,0,0,0,true
193826,,,,1,0,Фонарь маркерный ( светодиодный ) контурный красный 80.3731-02,80-3731-02,0,0,222,0,0,0,true
193827,,,,1,0,Фонарь маркерный ( светодиодный ) с катафотом,431-3731,0,0,88.8,0,0,0,true
193828,,,,1,0,Фонарь маркерный ( светодиодный ) с кронштейном L-50мм (2 контакта),74-3731,0,0,120,0,0,0,true
193829,,,,1,0,Фонарь освещения дверного проема (на 5490),18206201,0,0,1152,0,0,0,true
193830,,,,1,0,Фонарь освещения номерного знака (металл),5320-3717010,0,0,192,0,0,0,true
193831,,,,1,0,Фонарь освещения номерного знака (металл) / ОСВАР,ФП 131АБ,0,0,380.4,0,0,0,true
193832,,,,1,0,Фонарь освещения номерного знака 12V-24V (на КАМАЗ 5490) / SUFORCE,ОН3 00-03,0,0,248.4,0,0,0,true
193833,,,,1,0,Фонарь освещения номерного знака 12V-24V / Сакура,ОНЗ 00-02,0,0,240,0,0,0,true
193834,,,,1,0,Фонарь освещения номерного знака светодиодный (красный) / ЕВРОФУРА,ПН-0102 / LED / 12-24Вт,0,0,144,0,0,0,true
193835,,,,1,0,Фонарь освещения номерного знака светодиодный (черный) / ЕВРОФУРА,ПН-0101 / LED / 12-24Вт,0,0,144,0,0,0,true
193836,,,,1,0,Фонарь освещения номерного знака светодиодный ЕВРОФУРА (красный),ПН-2-01-02,0,0,189.6,0,0,0,true
193837,,,,1,0,Фонарь передний ПФ-130 (метал корпус),5320-3712010,0,0,270,0,0,0,true
193838,,,,1,0,Фонарь противотуманный задний (красный) с кронштейном,2462.3716 / 244.3716,0,0,105.6,0,0,0,true
193839,,,,1,0,Форсунка  Евро-3 ( аналог BOSCH 0 445 120 153 ) / АЗПИ,А-04-001-00-00-01,0,0,19716,0,0,0,true
