"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"МД-00011622","50.5-2905006","Амортизатор основной ЕВРО (КАМАЗ 6520, 65115, МАЗ) / г. Гродно","шт","5425","","7.16","0","0"
"МД-00001031","К50.5-2905006","Амортизатор основной ЕВРО (КАМАЗ 6520, 65115, МАЗ) / КМД","шт","2220","","6.28","0","0"
"МД-00003762","55102-8501300","Амортизатор платформы (подушка) овальная","шт","210","","1.23","0","0"
"МД-00003761","5511-8601144","Амортизатор платформы (подушка) прямоугольная","шт","355","","3.05","0","0"
"МД-00023183","5511-8601144","Амортизатор платформы (подушка) прямоугольная / Завод","шт","450","","3.14","0","0"
"МД-00015369","65201-8500400","Амортизатор платформы Евро 5 отв. / НЕФАЗ","шт","560","","1.423","0","0"
"МД-00001029","К5320-5001076 ","Амортизатор под кабину в сборе (К11.2905006-53) / КМД","шт","675","","1.14","0","0"
"МД-00004861","5320-5001076 / 11-2905005-53","Амортизатор под кабину в сборе / г. Гродно","шт","1659","","1.2","0","0"
"МД-00000040","5320-5001076","Амортизатор под кабину в сборе 3.3.1 / Цитрон","шт","975","","1.098","0","0"
"МД-00006291","2172-8231015","Амортизатор под рестайлинговую панель","шт","265","","0.36","0","0"
"МД-00015443","К5320-6804672","Амортизатор под сиденье (К11.6809010) / КМД","шт","605","","0.517","0","0"
"МД-00000468","5320-6804672 / 11-6809010","Амортизатор под сиденье / г. Гродно","шт","1357","","0.665","0","0"
"МД-00000049","5320-6804672","Амортизатор под сиденье / г. Москва","шт","650","","0.517","0","0"
"МД-00012294","1060427","Амортизатор под сиденье / ТИС","шт","9010","","0.5","0","0"
"МД-00016102","27-6809010","Амортизатор под сиденье в сборе НЕФАЗ / г. Гродно","шт","1297","","0.67","0","0"
"МД-00018297","KJZ18-1","Амортизатор под сиденье ВП 6520 / РИАТ","шт","4510","","1.2","0","0"
"МД-00006190","5320-3811010","Амперметр (-30+30) ","шт","147","","0.115","0","0"
"МД-00009396","5320-3811010","Амперметр (-30+30) / г. Владимир","шт","740","","0.11","0","0"
"МД-00006192","5320-3811010","Амперметр (-50+50) ","шт","147","","0.115","0","0"
"МД-00009397","5320-3811010","Амперметр (-50+50) / г. Владимир","шт","485","","0.11","0","0"
"МД-00006195","-","Антиржавчина (спрей) ""Цинкарь"" 500мл.","шт","196.9","","0.67","0","0"
"МД-00004862","-","Аптечка","шт","380","","0.526","0","0"
"МД-00015457","АМ-01","Аптечка в текстильном футляре / LUZAR","шт","517","","0.24","0","0"
"МД-00003604","АРШ-1П","Аптечка для шин  (большая)","к-т","490","","0.288","0","0"
"МД-00003605","АРК-1","Аптечка для шин  (малая)","к-т","240","","0.15","0","0"
"МД-00019936","АРШ-2","Аптечка для шин АРШ-2","к-т","1050","","0.96","0","0"
"МД-00003606","АРБ-Г","Аптечка для шин бескамерных (165 х 165 х 68)","к-т","1330","","0.78","0","0"
"МД-00006196","55102-8608010","Бак масляный на 55102 в сборе с масляным фильтром ( 400 х 400 х 260 )","шт","6380","","11.14","0","0"
"МД-00034729","55102-8608010","Бак масляный на 55102 в сборе с масляным фильтром ( 400 х 400 х 260 ) / НЕФАЗ / с разбора","шт","6000","","0.001","0","0"
"МД-00021194","55102-8608010","Бак масляный на 55102 в сборе с масляным фильтром ( 460 х 390 х 280 ) / Автотехнология","шт","7325","","0.001","0","0"
